Index,Audio_Path,True_Label,Pred_Label,Confidence,True_Label_Score,,,
5367,datasets/raw/LID/ko/G4g67NYmuVg__U__S188---1160.730-1162.990.wav,ko,zh,0.9998,0.0001,,,"               ""Confidence"": round(float(confidence), 4), # Mức độ tự tin khi sai"
5367,datasets/raw/LID/ko/G4g67NYmuVg__U__S188---1160.730-1162.990.wav,ko,zh,0.9998,0.0001,,,"                ""True_Label_Score"": round(float(true_score), 4) # Điểm cho nhãn đúng"
2792,datasets/raw/LID/ja/uryhzRXcqzw__U__S15---0115.740-0120.090.wav,ja,ko,0.9997,0.0002,,,
9785,datasets/raw/LID/vi/5IlbOLLJ3io__U__S32---0363.880-0367.890.wav,vi,ja,0.9997,0,,,
3639,datasets/raw/LID/vi/nghFYYkRXo4__U__S1---1088.820-1094.930.wav,vi,th,0.9997,0.0003,,,
3328,datasets/raw/LID/ja/rYEZA6LyM4w__U__S11---0651.200-0656.480.wav,ja,ko,0.9997,0.0002,,,
3639,datasets/raw/LID/vi/nghFYYkRXo4__U__S1---1088.820-1094.930.wav,vi,th,0.9997,0.0003,,,
3328,datasets/raw/LID/ja/rYEZA6LyM4w__U__S11---0651.200-0656.480.wav,ja,ko,0.9997,0.0002,,,
2792,datasets/raw/LID/ja/uryhzRXcqzw__U__S15---0115.740-0120.090.wav,ja,ko,0.9997,0.0002,,,
421,datasets/raw/LID/th/Dmp4uNc5Xjs__U__S27---0445.260-0449.560.wav,th,vi,0.9997,0.0003,,,
9785,datasets/raw/LID/vi/5IlbOLLJ3io__U__S32---0363.880-0367.890.wav,vi,ja,0.9997,0,,,
421,datasets/raw/LID/th/Dmp4uNc5Xjs__U__S27---0445.260-0449.560.wav,th,vi,0.9997,0.0003,,,
9608,datasets/raw/LID/zh/IypLWumFVoQ__U__S197---1255.600-1259.960.wav,zh,ko,0.9996,0.0003,,,
9608,datasets/raw/LID/zh/IypLWumFVoQ__U__S197---1255.600-1259.960.wav,zh,ko,0.9996,0.0003,,,
281,datasets/raw/LID/vi/dyxUQ1W4xqk__U__S155---0574.580-0579.890.wav,vi,th,0.9995,0.0005,,,
281,datasets/raw/LID/vi/dyxUQ1W4xqk__U__S155---0574.580-0579.890.wav,vi,th,0.9995,0.0005,,,
2216,datasets/raw/LID/ja/VGzO5h0KDFU__U__S10---0160.610-0165.530.wav,ja,ko,0.9994,0.0005,,,
2216,datasets/raw/LID/ja/VGzO5h0KDFU__U__S10---0160.610-0165.530.wav,ja,ko,0.9994,0.0005,,,
9483,datasets/raw/LID/ja/rPysJzBTGqY__U__S11---0070.760-0075.780.wav,ja,ko,0.9993,0.0006,,,
3280,datasets/raw/LID/vi/ydGnrDkBNvs__U__S38---0284.180-0288.900.wav,vi,th,0.9993,0.0007,,,
9484,datasets/raw/LID/ja/Dm2SHzzoEOg__U__S12---0057.870-0064.160.wav,ja,ko,0.9993,0.0002,,,
9483,datasets/raw/LID/ja/rPysJzBTGqY__U__S11---0070.760-0075.780.wav,ja,ko,0.9993,0.0006,,,
3280,datasets/raw/LID/vi/ydGnrDkBNvs__U__S38---0284.180-0288.900.wav,vi,th,0.9993,0.0007,,,
7550,datasets/raw/LID/vi/77epGRkIAM0__U__S24---0207.070-0211.240.wav,vi,th,0.9993,0.0005,,,
7550,datasets/raw/LID/vi/77epGRkIAM0__U__S24---0207.070-0211.240.wav,vi,th,0.9993,0.0005,,,
9484,datasets/raw/LID/ja/Dm2SHzzoEOg__U__S12---0057.870-0064.160.wav,ja,ko,0.9993,0.0002,,,
302,datasets/raw/LID/th/_gvw_RgXMqE__U__S193---1822.460-1828.670.wav,th,vi,0.9992,0.0007,,,
5762,datasets/raw/LID/ja/yJ5-5Kyusq0__U__S176---1156.590-1161.170.wav,ja,zh,0.9992,0.0002,,,
302,datasets/raw/LID/th/_gvw_RgXMqE__U__S193---1822.460-1828.670.wav,th,vi,0.9992,0.0007,,,
5762,datasets/raw/LID/ja/yJ5-5Kyusq0__U__S176---1156.590-1161.170.wav,ja,zh,0.9992,0.0002,,,
1730,datasets/raw/LID/ja/DUHzRlHjdKU__U__S60---0577.080-0581.860.wav,ja,ko,0.9991,0.0006,,,
6122,datasets/raw/LID/ja/hEjyugLuOYM__U__S32---0253.690-0261.770.wav,ja,ko,0.9991,0.0006,,,
1730,datasets/raw/LID/ja/DUHzRlHjdKU__U__S60---0577.080-0581.860.wav,ja,ko,0.9991,0.0006,,,
6122,datasets/raw/LID/ja/hEjyugLuOYM__U__S32---0253.690-0261.770.wav,ja,ko,0.9991,0.0006,,,
9132,datasets/raw/LID/zh/s-k6OAhyyrg__U__S5---0039.070-0046.630.wav,zh,th,0.999,0,,,
9132,datasets/raw/LID/zh/s-k6OAhyyrg__U__S5---0039.070-0046.630.wav,zh,th,0.999,0,,,
1386,datasets/raw/LID/ko/2BTzkkimohM__U__S193---0265.550-0269.060.wav,ko,th,0.9987,0,,,
3194,datasets/raw/LID/vi/-EtWox8itDI__U__S110---0400.310-0407.110.wav,vi,th,0.9987,0.0012,,,
3194,datasets/raw/LID/vi/-EtWox8itDI__U__S110---0400.310-0407.110.wav,vi,th,0.9987,0.0012,,,
11297,datasets/raw/LID/ja/bB5ukr_JKHU__U__S100---1194.000-1199.590.wav,ja,ko,0.9987,0.0011,,,
1386,datasets/raw/LID/ko/2BTzkkimohM__U__S193---0265.550-0269.060.wav,ko,th,0.9987,0,,,
11297,datasets/raw/LID/ja/bB5ukr_JKHU__U__S100---1194.000-1199.590.wav,ja,ko,0.9987,0.0011,,,
10453,datasets/raw/LID/ja/W58DcNAKhKI__U__S34---1371.920-1376.480.wav,ja,ko,0.9985,0.0012,,,
10453,datasets/raw/LID/ja/W58DcNAKhKI__U__S34---1371.920-1376.480.wav,ja,ko,0.9985,0.0012,,,
13355,datasets/raw/LID/vi/nYvxEvp9sJg__U__S214---1460.580-1464.850.wav,vi,th,0.9983,0.0017,,,
2764,datasets/raw/LID/ko/YjHcEDktTak__U__S15---0103.430-0109.410.wav,ko,vi,0.9983,0.0005,,,
2764,datasets/raw/LID/ko/YjHcEDktTak__U__S15---0103.430-0109.410.wav,ko,vi,0.9983,0.0005,,,
13355,datasets/raw/LID/vi/nYvxEvp9sJg__U__S214---1460.580-1464.850.wav,vi,th,0.9983,0.0017,,,
573,datasets/raw/LID/ja/w0L6OlNNcFY__U__S114---0762.470-0768.500.wav,ja,ko,0.9981,0.0013,,,
573,datasets/raw/LID/ja/w0L6OlNNcFY__U__S114---0762.470-0768.500.wav,ja,ko,0.9981,0.0013,,,
10758,datasets/raw/LID/ja/ZqSxCiQhaQ4__U__S10---0057.140-0065.860.wav,ja,ko,0.998,0.0016,,,
10758,datasets/raw/LID/ja/ZqSxCiQhaQ4__U__S10---0057.140-0065.860.wav,ja,ko,0.998,0.0016,,,
3094,datasets/raw/LID/th/JjlbKR_kMtY__U__S49---0287.910-0293.310.wav,th,vi,0.998,0.0012,,,
3094,datasets/raw/LID/th/JjlbKR_kMtY__U__S49---0287.910-0293.310.wav,th,vi,0.998,0.0012,,,
9087,datasets/raw/LID/vi/xjflIREUSlw__U__S315---2078.310-2084.760.wav,vi,ja,0.9979,0.0002,,,
8130,datasets/raw/LID/ja/aJgmEJ2ioMQ__U__S34---0338.930-0344.970.wav,ja,ko,0.9979,0.0019,,,
9087,datasets/raw/LID/vi/xjflIREUSlw__U__S315---2078.310-2084.760.wav,vi,ja,0.9979,0.0002,,,
8130,datasets/raw/LID/ja/aJgmEJ2ioMQ__U__S34---0338.930-0344.970.wav,ja,ko,0.9979,0.0019,,,
3877,datasets/raw/LID/ja/yJ5-5Kyusq0__U__S231---2227.750-2234.690.wav,ja,zh,0.9977,0.0016,,,
3877,datasets/raw/LID/ja/yJ5-5Kyusq0__U__S231---2227.750-2234.690.wav,ja,zh,0.9977,0.0016,,,
11688,datasets/raw/LID/ko/jRizP8UBLfk__U__S199---1276.460-1281.170.wav,ko,ja,0.9974,0.0024,,,
11688,datasets/raw/LID/ko/jRizP8UBLfk__U__S199---1276.460-1281.170.wav,ko,ja,0.9974,0.0024,,,
10555,datasets/raw/LID/vi/fU3bbrZkTto__U__S188---1203.800-1220.950.wav,vi,ja,0.9973,0.0002,,,
10555,datasets/raw/LID/vi/fU3bbrZkTto__U__S188---1203.800-1220.950.wav,vi,ja,0.9973,0.0002,,,
3368,datasets/raw/LID/ja/KMuZqlbjFPc__U__S17---0147.710-0152.760.wav,ja,ko,0.9971,0.0025,,,
3368,datasets/raw/LID/ja/KMuZqlbjFPc__U__S17---0147.710-0152.760.wav,ja,ko,0.9971,0.0025,,,
7657,datasets/raw/LID/en/E5ziLtGxut4__U__S65---0404.800-0410.970.wav,en,zh,0.997,0.0022,,,
7657,datasets/raw/LID/en/E5ziLtGxut4__U__S65---0404.800-0410.970.wav,en,zh,0.997,0.0022,,,
9022,datasets/raw/LID/ko/yztRc3XNfyM__U__S175---1738.480-1743.150.wav,ko,vi,0.9967,0.0013,,,
9022,datasets/raw/LID/ko/yztRc3XNfyM__U__S175---1738.480-1743.150.wav,ko,vi,0.9967,0.0013,,,
5139,datasets/raw/LID/en/FtS5H8CdNDw__U__S108---0700.420-0711.780.wav,en,zh,0.9966,0.0003,,,
5139,datasets/raw/LID/en/FtS5H8CdNDw__U__S108---0700.420-0711.780.wav,en,zh,0.9966,0.0003,,,
9932,datasets/raw/LID/en/vdvLQfXuLSk__U__S0---0114.330-0118.100.wav,en,zh,0.996,0.0002,,,
9932,datasets/raw/LID/en/vdvLQfXuLSk__U__S0---0114.330-0118.100.wav,en,zh,0.996,0.0002,,,
5419,datasets/raw/LID/ja/aJMGgT0RPLU__U__S48---0383.700-0387.760.wav,ja,ko,0.9959,0.0012,,,
5419,datasets/raw/LID/ja/aJMGgT0RPLU__U__S48---0383.700-0387.760.wav,ja,ko,0.9959,0.0012,,,
9499,datasets/raw/LID/vi/nYvxEvp9sJg__U__S263---1806.910-1811.430.wav,vi,th,0.9958,0.0039,,,
9499,datasets/raw/LID/vi/nYvxEvp9sJg__U__S263---1806.910-1811.430.wav,vi,th,0.9958,0.0039,,,
9655,datasets/raw/LID/ja/98aHNst0uG0__U__S148---0931.440-0938.200.wav,ja,ko,0.9952,0.0038,,,
9655,datasets/raw/LID/ja/98aHNst0uG0__U__S148---0931.440-0938.200.wav,ja,ko,0.9952,0.0038,,,
11598,datasets/raw/LID/ja/2W6jHAL1zMM__U__S178---0434.390-0438.360.wav,ja,ko,0.9951,0.0042,,,
11598,datasets/raw/LID/ja/2W6jHAL1zMM__U__S178---0434.390-0438.360.wav,ja,ko,0.9951,0.0042,,,
1917,datasets/raw/LID/vi/mfA37rVq3S4__U__S376---0219.020-0223.300.wav,vi,th,0.9949,0.0047,,,
4168,datasets/raw/LID/ja/Q8Rxm7OwI30__U__S135---0984.010-0986.600.wav,ja,ko,0.9949,0.0043,,,
4168,datasets/raw/LID/ja/Q8Rxm7OwI30__U__S135---0984.010-0986.600.wav,ja,ko,0.9949,0.0043,,,
1917,datasets/raw/LID/vi/mfA37rVq3S4__U__S376---0219.020-0223.300.wav,vi,th,0.9949,0.0047,,,
613,datasets/raw/LID/ja/UNFJaoLsEn0__U__S51---0585.170-0590.230.wav,ja,ko,0.9945,0.0046,,,
613,datasets/raw/LID/ja/UNFJaoLsEn0__U__S51---0585.170-0590.230.wav,ja,ko,0.9945,0.0046,,,
11793,datasets/raw/LID/vi/Pn7V1cHboIY__U__S164---1156.170-1166.040.wav,vi,ko,0.9941,0.0002,,,
11793,datasets/raw/LID/vi/Pn7V1cHboIY__U__S164---1156.170-1166.040.wav,vi,ko,0.9941,0.0002,,,
6416,datasets/raw/LID/ja/ehz5uyTBGRY__U__S122---2077.580-2083.140.wav,ja,ko,0.9931,0.005,,,
6416,datasets/raw/LID/ja/ehz5uyTBGRY__U__S122---2077.580-2083.140.wav,ja,ko,0.9931,0.005,,,
56,datasets/raw/LID/vi/h3OrsbZV4yY__U__S100---1340.790-1344.890.wav,vi,th,0.9929,0.007,,,
56,datasets/raw/LID/vi/h3OrsbZV4yY__U__S100---1340.790-1344.890.wav,vi,th,0.9929,0.007,,,
3338,datasets/raw/LID/zh/LimlJXByAjs__U__S152---1040.110-1044.340.wav,zh,ko,0.9926,0.0067,,,
3338,datasets/raw/LID/zh/LimlJXByAjs__U__S152---1040.110-1044.340.wav,zh,ko,0.9926,0.0067,,,
8419,datasets/raw/LID/vi/wXnv_eBvJtg__U__S200---1286.270-1295.800.wav,vi,th,0.9921,0.0078,,,
8419,datasets/raw/LID/vi/wXnv_eBvJtg__U__S200---1286.270-1295.800.wav,vi,th,0.9921,0.0078,,,
12396,datasets/raw/LID/ko/E43RF-Bsi1s__U__S22---0164.700-0170.040.wav,ko,ja,0.9919,0.0068,,,
12396,datasets/raw/LID/ko/E43RF-Bsi1s__U__S22---0164.700-0170.040.wav,ko,ja,0.9919,0.0068,,,
10340,datasets/raw/LID/vi/kw21eg-hbkE__U__S28---0323.340-0326.880.wav,vi,th,0.9907,0.009,,,
10340,datasets/raw/LID/vi/kw21eg-hbkE__U__S28---0323.340-0326.880.wav,vi,th,0.9907,0.009,,,
2375,datasets/raw/LID/th/EO_EmhGyiNI__U__S118---0496.160-0500.250.wav,th,vi,0.9902,0.0097,,,
2375,datasets/raw/LID/th/EO_EmhGyiNI__U__S118---0496.160-0500.250.wav,th,vi,0.9902,0.0097,,,
13420,datasets/raw/LID/ja/t60WkRRHCGk__U__S10---0046.830-0051.070.wav,ja,ko,0.9899,0.0088,,,
13420,datasets/raw/LID/ja/t60WkRRHCGk__U__S10---0046.830-0051.070.wav,ja,ko,0.9899,0.0088,,,
12905,datasets/raw/LID/ja/a9W3nWjiIFo__U__S225---1458.000-1462.910.wav,ja,ko,0.9892,0.0101,,,
12905,datasets/raw/LID/ja/a9W3nWjiIFo__U__S225---1458.000-1462.910.wav,ja,ko,0.9892,0.0101,,,
10446,datasets/raw/LID/vi/A9wE3K7VPnQ__U__S102---0075.190-0078.240.wav,vi,th,0.9871,0.0099,,,
10446,datasets/raw/LID/vi/A9wE3K7VPnQ__U__S102---0075.190-0078.240.wav,vi,th,0.9871,0.0099,,,
13058,datasets/raw/LID/vi/kaiMW4oOsIo__U__S123---0768.550-0772.510.wav,vi,th,0.9868,0.0131,,,
13058,datasets/raw/LID/vi/kaiMW4oOsIo__U__S123---0768.550-0772.510.wav,vi,th,0.9868,0.0131,,,
7456,datasets/raw/LID/vi/KopuPPc2GSc__U__S15---1143.000-1146.580.wav,vi,th,0.9861,0.0138,,,
7456,datasets/raw/LID/vi/KopuPPc2GSc__U__S15---1143.000-1146.580.wav,vi,th,0.9861,0.0138,,,
3540,datasets/raw/LID/vi/Nu_ERj-ZQR4__U__S203---1230.000-1233.830.wav,vi,th,0.9821,0.0178,,,
3540,datasets/raw/LID/vi/Nu_ERj-ZQR4__U__S203---1230.000-1233.830.wav,vi,th,0.9821,0.0178,,,
13160,datasets/raw/LID/en/80YAzAN3U9M__U__S0---0000.000-0006.480.wav,en,ja,0.9771,0.003,,,
13160,datasets/raw/LID/en/80YAzAN3U9M__U__S0---0000.000-0006.480.wav,en,ja,0.9771,0.003,,,
787,datasets/raw/LID/zh/H1MLl9xy3ME__U__S71---0442.940-0448.330.wav,zh,vi,0.9761,0.0008,,,
787,datasets/raw/LID/zh/H1MLl9xy3ME__U__S71---0442.940-0448.330.wav,zh,vi,0.9761,0.0008,,,
5171,datasets/raw/LID/ja/LvXpMXdOof4__U__S40---0242.880-0255.320.wav,ja,ko,0.9743,0.0246,,,
5171,datasets/raw/LID/ja/LvXpMXdOof4__U__S40---0242.880-0255.320.wav,ja,ko,0.9743,0.0246,,,
2391,datasets/raw/LID/vi/fU3bbrZkTto__U__S21---0150.370-0157.630.wav,vi,ja,0.9699,0.002,,,
2391,datasets/raw/LID/vi/fU3bbrZkTto__U__S21---0150.370-0157.630.wav,vi,ja,0.9699,0.002,,,
10361,datasets/raw/LID/ko/Z8F5r242zMA__U__S219---2559.630-2565.850.wav,ko,th,0.9664,0.0278,,,
10361,datasets/raw/LID/ko/Z8F5r242zMA__U__S219---2559.630-2565.850.wav,ko,th,0.9664,0.0278,,,
1521,datasets/raw/LID/ko/hOs6lUy_mhE__U__S111---1618.370-1624.410.wav,ko,ja,0.9619,0.0341,,,
1521,datasets/raw/LID/ko/hOs6lUy_mhE__U__S111---1618.370-1624.410.wav,ko,ja,0.9619,0.0341,,,
1411,datasets/raw/LID/zh/_r1nKUxwtHk__U__S44---0293.470-0299.400.wav,zh,ko,0.9591,0.0184,,,
1411,datasets/raw/LID/zh/_r1nKUxwtHk__U__S44---0293.470-0299.400.wav,zh,ko,0.9591,0.0184,,,
7247,datasets/raw/LID/th/2Hu_TwidcIM__U__S1---0034.960-0038.630.wav,th,vi,0.9586,0.0409,,,
7247,datasets/raw/LID/th/2Hu_TwidcIM__U__S1---0034.960-0038.630.wav,th,vi,0.9586,0.0409,,,
7322,datasets/raw/LID/vi/FBKsgvYPY3s__U__S15---0297.240-0300.430.wav,vi,th,0.9567,0.0431,,,
7322,datasets/raw/LID/vi/FBKsgvYPY3s__U__S15---0297.240-0300.430.wav,vi,th,0.9567,0.0431,,,
9968,datasets/raw/LID/vi/2u8lWa4LsaM__U__S227---2254.560-2259.470.wav,vi,th,0.954,0.0459,,,
9968,datasets/raw/LID/vi/2u8lWa4LsaM__U__S227---2254.560-2259.470.wav,vi,th,0.954,0.0459,,,
11416,datasets/raw/LID/th/lj3WGYBkLBQ__U__S113---0387.400-0395.250.wav,th,vi,0.9529,0.0453,,,
11416,datasets/raw/LID/th/lj3WGYBkLBQ__U__S113---0387.400-0395.250.wav,th,vi,0.9529,0.0453,,,
7725,datasets/raw/LID/th/XKYeFHuZm_M__U__S9---0061.770-0068.940.wav,th,vi,0.9495,0.0502,,,
7725,datasets/raw/LID/th/XKYeFHuZm_M__U__S9---0061.770-0068.940.wav,th,vi,0.9495,0.0502,,,
10753,datasets/raw/LID/ja/t1TPUn_CYJg__U__S204---1254.730-1271.110.wav,ja,ko,0.9408,0.0581,,,
10753,datasets/raw/LID/ja/t1TPUn_CYJg__U__S204---1254.730-1271.110.wav,ja,ko,0.9408,0.0581,,,
10137,datasets/raw/LID/th/blxOdFeN6qA__U__S182---2148.670-2153.060.wav,th,zh,0.9373,0.0597,,,
10137,datasets/raw/LID/th/blxOdFeN6qA__U__S182---2148.670-2153.060.wav,th,zh,0.9373,0.0597,,,
7009,datasets/raw/LID/ja/c-LeLBiy5G8__U__S21---0269.580-0273.770.wav,ja,ko,0.9288,0.0574,,,
7009,datasets/raw/LID/ja/c-LeLBiy5G8__U__S21---0269.580-0273.770.wav,ja,ko,0.9288,0.0574,,,
3859,datasets/raw/LID/ja/t60WkRRHCGk__U__S169---1029.160-1032.950.wav,ja,ko,0.92,0.0185,,,
3859,datasets/raw/LID/ja/t60WkRRHCGk__U__S169---1029.160-1032.950.wav,ja,ko,0.92,0.0185,,,
5114,datasets/raw/LID/vi/cOebJdmw5zE__U__S13---0081.600-0087.790.wav,vi,ja,0.8999,0.0005,,,
5114,datasets/raw/LID/vi/cOebJdmw5zE__U__S13---0081.600-0087.790.wav,vi,ja,0.8999,0.0005,,,
9839,datasets/raw/LID/th/-FQYn9rNbvU__U__S83---0492.020-0496.210.wav,th,vi,0.8852,0.0171,,,
9839,datasets/raw/LID/th/-FQYn9rNbvU__U__S83---0492.020-0496.210.wav,th,vi,0.8852,0.0171,,,
6885,datasets/raw/LID/ko/P8cg4DtcFAo__U__S102---0441.720-0447.580.wav,ko,ja,0.8732,0.1219,,,
6885,datasets/raw/LID/ko/P8cg4DtcFAo__U__S102---0441.720-0447.580.wav,ko,ja,0.8732,0.1219,,,
9294,datasets/raw/LID/ja/jabXbvepcxs__U__S106---0990.160-0994.270.wav,ja,ko,0.8722,0.1227,,,
9294,datasets/raw/LID/ja/jabXbvepcxs__U__S106---0990.160-0994.270.wav,ja,ko,0.8722,0.1227,,,
2372,datasets/raw/LID/en/mcHwp0v3iSs__U__S64---0411.090-0429.250.wav,en,ja,0.8581,0.0062,,,
2372,datasets/raw/LID/en/mcHwp0v3iSs__U__S64---0411.090-0429.250.wav,en,ja,0.8581,0.0062,,,
12762,datasets/raw/LID/ja/h-ZxCaZPXoU__U__S3---0048.140-0060.390.wav,ja,ko,0.8579,0.1259,,,
12762,datasets/raw/LID/ja/h-ZxCaZPXoU__U__S3---0048.140-0060.390.wav,ja,ko,0.8579,0.1259,,,
1885,datasets/raw/LID/ja/KvSgSOj_n5Q__U__S45---0333.160-0336.980.wav,ja,zh,0.8485,0.057,,,
1885,datasets/raw/LID/ja/KvSgSOj_n5Q__U__S45---0333.160-0336.980.wav,ja,zh,0.8485,0.057,,,
12884,datasets/raw/LID/th/lj3WGYBkLBQ__U__S113---1108.200-1113.040.wav,th,vi,0.8483,0.1392,,,
12884,datasets/raw/LID/th/lj3WGYBkLBQ__U__S113---1108.200-1113.040.wav,th,vi,0.8483,0.1392,,,
8483,datasets/raw/LID/vi/4ftIUL-MG20__U__S128---0357.310-0367.080.wav,vi,th,0.8463,0.1535,,,
8483,datasets/raw/LID/vi/4ftIUL-MG20__U__S128---0357.310-0367.080.wav,vi,th,0.8463,0.1535,,,
6061,datasets/raw/LID/ko/Zvf2ONeifm4__U__S198---1223.090-1226.010.wav,ko,th,0.8422,0.156,,,
6061,datasets/raw/LID/ko/Zvf2ONeifm4__U__S198---1223.090-1226.010.wav,ko,th,0.8422,0.156,,,
4785,datasets/raw/LID/zh/qW-o5JQqlmc__U__S100---0486.590-0491.410.wav,zh,vi,0.8418,0.1517,,,
4785,datasets/raw/LID/zh/qW-o5JQqlmc__U__S100---0486.590-0491.410.wav,zh,vi,0.8418,0.1517,,,
756,datasets/raw/LID/ja/V0myVrJZClo__U__S30---0209.340-0213.160.wav,ja,zh,0.8337,0.0083,,,
756,datasets/raw/LID/ja/V0myVrJZClo__U__S30---0209.340-0213.160.wav,ja,zh,0.8337,0.0083,,,
11784,datasets/raw/LID/vi/IXRWb0XVNXA__U__S205---1206.340-1209.990.wav,vi,th,0.833,0.1668,,,
11784,datasets/raw/LID/vi/IXRWb0XVNXA__U__S205---1206.340-1209.990.wav,vi,th,0.833,0.1668,,,
4151,datasets/raw/LID/vi/V701RR9evXY__U__S13---0210.810-0216.690.wav,vi,zh,0.8313,0.1285,,,
4151,datasets/raw/LID/vi/V701RR9evXY__U__S13---0210.810-0216.690.wav,vi,zh,0.8313,0.1285,,,
10415,datasets/raw/LID/ko/1qbF69VWsmg__U__S12---0017.500-0025.490.wav,ko,zh,0.8294,0.1681,,,
10415,datasets/raw/LID/ko/1qbF69VWsmg__U__S12---0017.500-0025.490.wav,ko,zh,0.8294,0.1681,,,
11481,datasets/raw/LID/vi/ZLzCr9MMDlc__U__S148---0172.650-0179.030.wav,vi,th,0.8227,0.1771,,,
11481,datasets/raw/LID/vi/ZLzCr9MMDlc__U__S148---0172.650-0179.030.wav,vi,th,0.8227,0.1771,,,
1998,datasets/raw/LID/ko/hOs6lUy_mhE__U__S111---2540.520-2544.370.wav,ko,zh,0.8176,0.1806,,,
1998,datasets/raw/LID/ko/hOs6lUy_mhE__U__S111---2540.520-2544.370.wav,ko,zh,0.8176,0.1806,,,
13271,datasets/raw/LID/ja/bDz-e8jfwHA__U__S142---3047.810-3052.580.wav,ja,ko,0.8149,0.184,,,
